dic 13 00:41:41|5[info]13/12/2014 00:41:41 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:41:44|5[info]13/12/2014 00:41:44 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 03:37:01|5[info]13/12/2014 03:37:01 - [UTENTE = ][REMOTE IP = 66.249.67.99][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 06:06:37|5[info]13/12/2014 06:06:37 - [UTENTE = ][REMOTE IP = 66.249.67.91][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 06:31:40|5[info]13/12/2014 06:31:40 - [UTENTE = ][REMOTE IP = 66.249.67.96][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 09:08:56|5[info]13/12/2014 09:08:56 - [UTENTE = ][REMOTE IP = 185.72.244.38][REQUEST METHOD = HEAD][USER AGENT = Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36]
dic 13 09:35:18|5[info]13/12/2014 09:35:18 - [UTENTE = ][REMOTE IP = 66.249.67.115][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 09:44:05|5[info]13/12/2014 09:44:05 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 09:44:08|5[info]13/12/2014 09:44:08 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 10:02:02|5[info]13/12/2014 10:02:02 - [UTENTE = ][REMOTE IP = 66.249.67.123][act = Search][gm = 31][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 10:15:25|5[info]13/12/2014 10:15:25 - [UTENTE = ][REMOTE IP = 66.249.67.123][act = Search][gm = 41][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 10:28:51|5[info]13/12/2014 10:28:51 - [UTENTE = ][REMOTE IP = 66.249.67.115][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 10:39:32|5[info]13/12/2014 10:39:32 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 10:39:34|5[info]13/12/2014 10:39:34 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 12:39:27|5[info]13/12/2014 12:39:27 - [UTENTE = ][REMOTE IP = 95.225.163.88][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 12:39:30|5[info]13/12/2014 12:39:30 - [UTENTE = ][REMOTE IP = 95.225.163.88][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 16:14:50|5[info]13/12/2014 16:14:50 - [UTENTE = ][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 16:15:18|5[info]13/12/2014 16:15:18 - [UTENTE = ][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 16:15:20|5[info]13/12/2014 16:15:20 - [UTENTE = ][REMOTE IP = 79.7.71.152][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 19:04:59|5[info]13/12/2014 19:04:59 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 20:14:37|5[info]13/12/2014 20:14:37 - [UTENTE = ][REMOTE IP = 66.249.67.112][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 20:16:00|5[info]13/12/2014 20:16:00 - [UTENTE = ][REMOTE IP = 66.249.67.75][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 20:40:33|5[info]13/12/2014 20:40:33 - [UTENTE = ][REMOTE IP = 66.249.67.83][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 21:33:15|5[info]13/12/2014 21:33:15 - [UTENTE = ][REMOTE IP = 66.249.67.139][act = Search][gm = 37][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 21:48:25|5[info]13/12/2014 21:48:25 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 22:46:21|5[info]13/12/2014 22:46:21 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 42][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 22:49:07|5[info]13/12/2014 22:49:07 - [UTENTE = ][REMOTE IP = 66.249.67.147][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 23:12:13|5[info]13/12/2014 23:12:13 - [UTENTE = ][REMOTE IP = 95.160.19.111][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.2; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0]
dic 13 23:12:13|5[info]13/12/2014 23:12:13 - [UTENTE = ][REMOTE IP = 95.160.19.111][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11]
dic 13 23:12:33|5[info]13/12/2014 23:12:33 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 37][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 23:42:54|5[info]13/12/2014 23:42:54 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 38][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 13 23:51:10|5[info]13/12/2014 23:51:10 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
