dic 31 01:08:14|5[info]31/12/2014 01:08:14 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][id_contenuto = Array][id_giacenza = Array][note_480 = Inserisci una nota sul prodotto][quantita = Array][note_165 = Inserisci una nota sul prodotto][note_28 = Inserisci una nota sul prodotto][note_30 = Inserisci una nota sul prodotto][note_23 = Inserisci una nota sul prodotto][note_563 = Inserisci una nota sul prodotto][note_21 = corto, compatto][note_485 = Inserisci una nota sul prodotto][note_22 = Inserisci una nota sul prodotto][note_483 = Inserisci una nota sul prodotto][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:17:06|5[info]31/12/2014 01:17:06 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:24:13|5[info]31/12/2014 01:24:13 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:24:17|5[info]31/12/2014 01:24:17 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:24:22|5[info]31/12/2014 01:24:22 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:24:33|5[info]31/12/2014 01:24:33 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][id_contenuto = Array][id_giacenza = Array][note_28 = Inserisci una nota sul prodotto][quantita = Array][note_30 = Inserisci una nota sul prodotto][note_23 = Inserisci una nota sul prodotto][note_563 = Inserisci una nota sul prodotto][note_21 = corto, compatto][note_485 = Inserisci una nota sul prodotto][note_22 = Inserisci una nota sul prodotto][note_483 = Inserisci una nota sul prodotto][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:24:46|5[info]31/12/2014 01:24:46 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:24:59|5[info]31/12/2014 01:24:59 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:10|5[info]31/12/2014 01:25:10 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:25:13|5[info]31/12/2014 01:25:13 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
