feb 05 00:16:44|5[info]05/02/2015 00:16:44 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:16:47|5[info]05/02/2015 00:16:47 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Orders][user_id = 7218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:16:50|5[info]05/02/2015 00:16:50 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:16:54|5[info]05/02/2015 00:16:54 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:21:15|5[info]05/02/2015 00:21:15 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:21:36|5[info]05/02/2015 00:21:36 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:22:10|5[info]05/02/2015 00:22:10 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:22:12|5[info]05/02/2015 00:22:12 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:26:48|5[info]05/02/2015 00:26:48 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:26:52|5[info]05/02/2015 00:26:52 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:26:54|5[info]05/02/2015 00:26:54 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 49][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:27:31|5[info]05/02/2015 00:27:31 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 49][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:27:33|5[info]05/02/2015 00:27:33 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 49][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:27:34|5[info]05/02/2015 00:27:34 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:27:37|5[info]05/02/2015 00:27:37 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:27:40|5[info]05/02/2015 00:27:40 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:27:44|5[info]05/02/2015 00:27:44 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:06|5[info]05/02/2015 00:29:06 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:08|5[info]05/02/2015 00:29:08 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:08|5[info]05/02/2015 00:29:08 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:10|5[info]05/02/2015 00:29:10 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:13|5[info]05/02/2015 00:29:13 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 47][is_ajax = 1][layout = thumb][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:14|5[info]05/02/2015 00:29:14 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][is_ajax = 1][layout = grid][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:16|5[info]05/02/2015 00:29:16 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 49][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:29:44|5[info]05/02/2015 00:29:44 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 49][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:04|5[info]05/02/2015 00:30:04 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 51][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:07|5[info]05/02/2015 00:30:07 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:10|5[info]05/02/2015 00:30:10 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = ProductInfo][id_giacenza = 34][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:14|5[info]05/02/2015 00:30:14 - [UTENTE = ][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:17|5[info]05/02/2015 00:30:17 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:24|5[info]05/02/2015 00:30:24 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 46][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:27|5[info]05/02/2015 00:30:27 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:40|5[info]05/02/2015 00:30:40 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:30:58|5[info]05/02/2015 00:30:58 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:31:02|5[info]05/02/2015 00:31:02 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = ProductInfo][id_giacenza = 34][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:31:04|5[info]05/02/2015 00:31:04 - [UTENTE = ][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:31:40|5[info]05/02/2015 00:31:40 - [UTENTE = ][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:31:48|5[info]05/02/2015 00:31:48 - [UTENTE = ][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:31:52|5[info]05/02/2015 00:31:52 - [UTENTE = ][REMOTE IP = 79.11.11.21][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:32:34|5[info]05/02/2015 00:32:34 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = ProductInfo][id_giacenza = 34][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:32:37|5[info]05/02/2015 00:32:37 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][gm = 47][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:32:53|5[info]05/02/2015 00:32:53 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:32:58|5[info]05/02/2015 00:32:58 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:33:01|5[info]05/02/2015 00:33:01 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Orders][user_id = 7218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:33:04|5[info]05/02/2015 00:33:04 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = MyAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:33:06|5[info]05/02/2015 00:33:06 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Contatti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:33:18|5[info]05/02/2015 00:33:18 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
feb 05 00:33:21|5[info]05/02/2015 00:33:21 - [UTENTE = alberto][REMOTE IP = 79.11.11.21][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
