30154;Acer ESTERNO;PLATANOIDES;;ESTERNO;
30160;Acer ESTERNO;PLATANOIDES COLUMNARE;;ESTERNO;
30161;Acer ESTERNO;PLATANOIDES CRIMSON KING;;ESTERNO;
30162;Acer ESTERNO;PLATANOIDES CRIMSON SENTRY;;ESTERNO;
30164;Acer ESTERNO;PLATANOIDES DEBORAH;;ESTERNO;
30165;Acer ESTERNO;PLATANOIDES DRUMMONDII;;ESTERNO;
30168;Acer ESTERNO;PLATANOIDES FAASSENS BLACK;;ESTERNO;
30170;Acer ESTERNO;PLATANOIDES GLOBOSUM;;ESTERNO;
30179;Acer ESTERNO;PLATANOIDES ROYAL RED;;ESTERNO;
30184;Acer ESTERNO;PSEUDOPLATANUS;;ESTERNO;
30185;Acer ESTERNO;PSEUDOPLATANUS ATROPURPUREUM;;ESTERNO;
30186;Acer ESTERNO;PSEUDOPLATANUS BRILLIANTISSIMUM;;ESTERNO;
30194;Acer ESTERNO;PSEUDOPLATANUS PRINZ HANDJERY;;ESTERNO;
30198;Acer ESTERNO;PSEUDOPLATANUS WORLEEI;;ESTERNO;
30215;Acer ESTERNO;RUFINERVE;;ESTERNO;
30233;Acer ESTERNO;SHIRASAWANUM;;ESTERNO;
30234;Acer ESTERNO;SHIRASAWANUM AUREUM;;ESTERNO;
57792;Acer ESTERNO;SHIRASAWANUM AUTUMN MOON;;ESTERNO;
318949;Acer ESTERNO;SHIRASAWANUM GLORIA;;ESTERNO;
58713;Acer ESTERNO;SHIRASAWANUM JORDAN;;ESTERNO;
25907;Achillea;CARTILAGINEA SILVERSPRAY;BIANCO;FIORI;
5669;Achillea;CORONATION GOLD;GIALLO;FIORI;
1104;Achillea;CR ME;;FIORI;
6325;Achillea;FILIPENDULINA PARKERS VARIETY;GIALLO SCURO;FIORI;
6219;Achillea;GEEL;;FIORI;
106105;Achillea;KLEURBEHANDELD APRICOT H%;;FIORI;
106104;Achillea;KLEURBEHANDELD ZALM H%;;FIORI;
3240;Achillea;MASKERADE;GIALLO CHIARO;FIORI;
110607;Achillea;MILLEFOLIUM ANITA;ROSA SCURO;FIORI;
25360;Achillea;MILLEFOLIUM ANNEMIEKE;ARANCIO CHIARO;FIORI;
11367;Achillea;MILLEFOLIUM ANTHEA;GIALLO;FIORI;
11542;Achillea;MILLEFOLIUM BIANCA CLASSIC;ROSA;FIORI;
21938;Achillea;MILLEFOLIUM CHERRY QUEEN;;FIORI;
25359;Achillea;MILLEFOLIUM CINDY;ROSSO;FIORI;
20639;Achillea;MILLEFOLIUM CLEOPATRA;BEIGE;FIORI;
13178;Achillea;MILLEFOLIUM CREDO;GIALLO;FIORI;
11366;Achillea;MILLEFOLIUM CREME PERFECTION;GIALLO CHIARO;FIORI;
108871;Achillea;MILLEFOLIUM HOFFNUNG;;FIORI;
110606;Achillea;MILLEFOLIUM INDY;ROSA CHIARO;FIORI;
110159;Achillea;MILLEFOLIUM JO-ANN;GIALLO;FIORI;
6330;Achillea;MILLEFOLIUM LACHSSCH NHEIT;;FIORI;
4998;Achillea;MILLEFOLIUM LILAC BEAUTY;VIOLA CHIARO;FIORI;
105008;Achillea;MILLEFOLIUM MALEYKA;ROSA;FIORI;
20640;Achillea;MILLEFOLIUM MARIEKE;BIANCO SPENTO;FIORI;
14673;Achillea;MILLEFOLIUM MASTERCLASS CHERRY;VIOLA;FIORI;
101267;Achillea;MILLEFOLIUM MASTERCLASS CREAMY;BIANCO SPENTO;FIORI;
14379;Achillea;MILLEFOLIUM MASTERCLASS LIGHT PINK;VIOLA CHIARO;FIORI;
101270;Achillea;MILLEFOLIUM MASTERCLASS LILAC;ROSA SCURO;FIORI;
