BERG;BERGENIA;1;2;3;9900000000561;
BERG14;BERGENIA V14;1;2;3;8053369655321;
BIDE;BIDENS;1;2;3;9900000000578;
BIDE14BD;BIDENS *Beedance* V14;1;2;3;8053369656700;
BIDE14;BIDENS V14;1;2;3;8053369656755;
BIDE15;BIDENS V15;1;2;3;9900000014469;
BIDE18;BIDENS V18;1;2;3;9900000015510;
BIDE18BK;BIDENS V18 BKT;1;2;3;9900000015527;
BIDE20;BIDENS V20;1;2;3;9900000010430;
BIDE20BK;BIDENS V20 BKT;1;2;3;9900000010447;
BIGN;BIGNONIA;1;2;3;9900000014377;
PAND20PI;BIGNONIA PANDOREA V20 PIRAMIDE;1;2;3;8053369652771;
BIGN17;BIGNONIA V17;1;2;3;9900000014384;
BOCC;BOCCA DI LEONE;1;2;3;9900000000585;
BOCC15;BOCCA DI LEONE V15;1;2;3;9900000007157;
BOCC16BK;BOCCA DI LEONE V16 BKT;1;2;3;9900000009359;
BONS;BONSAI;1;2;3;9900000000592;
BORO;BOROMIA;1;2;3;9900000000608;
BORR;BORRAGINE;1;2;3;9900000009663;
BORR14;BORRAGINE V14;1;2;3;8053369651194;
BOUG;BOUGANVILLEA;1;2;3;9900000000615;
BOUG19PI;BOUGANVILLEA  V19 PIRAMIDE;1;2;3;9900000017170;
BOUG19PI;BOUGANVILLEA  V19 PIRAMIDE;1;2;3;8053369655697;
BOUG14PI;BOUGANVILLEA V14 PIRAMIDE;1;2;3;9900000017668;
BOUG16;BOUGANVILLEA V16;1;2;3;9900000011369;
BOUG17;BOUGANVILLEA V17;1;2;3;9900000014391;
BOUG17AL;BOUGANVILLEA V17 ALBERELLO;1;2;3;9900000017712;
BOUG17PI;BOUGANVILLEA V17 PIRAMIDE;1;2;3;8053369652061;
BOUG18;BOUGANVILLEA V18;1;2;3;9900000014544;
BOUG30;BOUGANVILLEA V30;1;2;3;9900000011376;
BOUG30SP;BOUGANVILLEA V30 SPALLIERA;1;2;3;9900000011383;
BOUV;BOUVARDIA;1;2;3;9900000000622;
BRAS;BRASSICA;1;2;3;9900000000639;
BRAS13;BRASSICA V13;1;2;3;9900000003647;
BRAS13FL;BRASSICA V13 FOGLIA LISCIA;1;2;3;9900000018504;
BRAS14;BRASSICA V14;1;2;3;9900000003654;
BRAS14LI;BRASSICA V14 Foglia liscia;1;2;3;8053369653662;
BRAS14RI;BRASSICA V14 Foglia riccia;1;2;3;8053369653655;
BRAS14VE;BRASSICA VASO 14 "Silvergold";1;2;3;8053369654249;
BROM;BROMELIA;1;2;3;9900000000646;
BULB;BULBI;1;2;3;9900000000653;
BULBCO;BULBO COMPOSIZIONE;1;2;3;9900000005399;
BULBMI;BULBO MIX;1;2;3;9900000003661;
BUXU;BUXUS;1;2;3;9900000000660;
CALAD;CALADIUM;1;2;3;9900000000684;
CALAD16;CALADIUM V16;1;2;3;9900000003678;
CALAD18;CALADIUM V18;1;2;3;9900000014629;
CALAD20;CALADIUM V20;1;2;3;9900000003685;
CALAT;CALATHEA;1;2;3;9900000000691;
CALC;CALCEOLARIA;1;2;3;9900000000707;
CALC10;CALCEOLARIA V10;1;2;3;9900000003692;
CALC14;CALCEOLARIA V14;1;2;3;8053369654294;
CALE;CALENDULA;1;2;3;9900000000714;
CALE14EX;CALENDULA *Selezione* VASO 14;1;2;3;8053369650494;
CALE12;CALENDULA V12;1;2;3;9900000003715;
CALE14;CALENDULA V14;1;2;3;8888120067309;
CALE14;CALENDULA V14;1;2;3;8053369651392;
CALE18;CALENDULA V18;1;2;3;9900000008192;
CALI;CALIBRACHOA;1;2;3;9900000016753;
CALIB14;CALIBRACHOA V14;1;2;3;9900000017880;
CALIB14;CALIBRACHOA V14;1;2;3;8053369656557;
CALLA;CALLA;1;2;3;9900000000721;
CALLACO;CALLA COLORATA;1;2;3;9900000010645;
CALLA10;CALLA V10;1;2;3;9900000016210;
